"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Apricot","Dorada","Cieza","3/12/2017",2017,71,"Calibration","full"
"Apricot","Dorada","Cieza","3/26/2013",2013,85,"Calibration","full"
"Apricot","Dorada","Cieza","3/26/2010",2010,85,"Calibration","full"
"Apricot","Dorada","Cieza","3/19/2019",2019,78,"Calibration","full"
"Apricot","Dorada","Cieza","3/19/2019",2019,78,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/12/2014",2014,71,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/22/2018",2018,81,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/8/2009",2009,67,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/10/2008",2008,70,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/11/2011",2011,70,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/12/2015",2015,71,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/26/2013",2013,85,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/16/2007",2007,75,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/22/2003",2003,81,"Calibration","scarce"
"Apricot","Dorada","Cieza","3/17/2021",2021,76,"Validation","full"
"Apricot","Dorada","Cieza","3/28/2004",2004,88,"Validation","full"
"Apricot","Dorada","Cieza","3/22/2005",2005,81,"Validation","full"
"Apricot","Dorada","Cieza","3/12/2006",2006,71,"Validation","full"
"Apricot","Dorada","Cieza","3/26/2012",2012,86,"Validation","full"
"Apricot","Dorada","Cieza","3/17/2021",2021,76,"Validation","scarce"
"Apricot","Dorada","Cieza","3/5/2021",2021,64,"Validation","scarce"
"Apricot","Dorada","Cieza","4/2/2016",2016,93,"Validation","scarce"
"Apricot","Dorada","Cieza","3/12/2017",2017,71,"Validation","scarce"
"Apricot","Dorada","Cieza","3/28/2004",2004,88,"Validation","scarce"
"Apricot","Dorada","Cieza","3/22/2005",2005,81,"Validation","scarce"
"Apricot","Dorada","Cieza","3/12/2006",2006,71,"Validation","scarce"
"Apricot","Dorada","Cieza","3/28/2022",2022,87,"Validation","scarce"
"Apricot","Dorada","Cieza","3/26/2010",2010,85,"Validation","scarce"
"Apricot","Dorada","Cieza","3/26/2012",2012,86,"Validation","scarce"
