species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment,country
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2010,NA,NA,NA,3/20/2010,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2011,NA,NA,NA,3/10/2011,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2012,NA,NA,NA,3/15/2012,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2013,NA,NA,NA,3/13/2013,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2014,NA,NA,NA,3/10/2014,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2015,NA,NA,NA,3/18/2015,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2016,NA,NA,NA,3/2/2016,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2017,NA,NA,NA,3/3/2017,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2018,NA,NA,NA,3/17/2018,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2019,NA,NA,NA,3/4/2019,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2020,NA,NA,NA,2/27/2020,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2021,NA,NA,NA,3/6/2021,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Berdejo,Zaragoza,Arid Cold steppe ,Yes,2022,NA,NA,NA,3/4/2022,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Veecot,Zaragoza,Arid Cold steppe ,Yes,1999,NA,NA,NA,3/4/1999,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Veecot,Zaragoza,Arid Cold steppe ,Yes,2000,NA,NA,NA,2/26/2000,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Veecot,Zaragoza,Arid Cold steppe ,Yes,2001,NA,NA,NA,3/5/2001,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Veecot,Zaragoza,Arid Cold steppe ,Yes,2002,NA,NA,NA,2/27/2002,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
