"species","cultivar","location","year","flowering_f50","yday","cult_loc","r","split","ncal"
"Almond","Ferragnes","Meknes",1998,"3/5/1998",64,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",1988,"3/1/1988",61,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",2008,"3/2/2008",62,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",1985,"3/10/1985",69,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",2011,"3/4/2011",63,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",1986,"3/9/1986",68,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",2002,"2/28/2002",59,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Ferragnes","Meknes",1997,"3/2/1997",61,"Ferragnes-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1978,"2/10/1978",41,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1992,"2/15/1992",46,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1998,"2/28/1998",59,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1988,"2/15/1988",46,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",2008,"2/12/2008",43,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1985,"2/22/1985",53,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",2011,"2/15/2011",46,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1986,"3/1/1986",60,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",2002,"2/10/2002",41,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marcona","Meknes",1997,"2/25/1997",56,"Marcona-Meknes",1,"Calibration","scarce"
"Almond","Marta","Santomera",2008,"2/9/2008",40,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2006,"2/25/2006",56,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2011,"2/19/2011",50,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2018,"2/20/2018",51,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2010,"2/27/2010",58,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2019,"2/25/2019",56,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2021,"2/10/2021",41,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2007,"2/17/2007",48,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2005,"2/26/2005",57,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Marta","Santomera",2012,"3/2/2012",62,"Marta-Santomera",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",2013,"3/21/2013",80,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",1982,"3/8/1982",67,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",1993,"3/16/1993",75,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",2005,"3/19/2005",78,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",1999,"3/1/1999",60,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",2001,"3/7/2001",66,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",2002,"3/2/2002",61,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",1992,"2/26/1992",57,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",2015,"3/4/2015",63,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Mazzetto","Sfax",2006,"3/6/2006",65,"Mazzetto-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",2013,"3/17/2013",76,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",1982,"3/6/1982",65,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",1993,"3/14/1993",73,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",2005,"3/19/2005",78,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",1999,"2/26/1999",57,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",2001,"3/3/2001",62,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",2002,"3/1/2002",60,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",1992,"3/2/1992",62,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",2014,"2/12/2014",43,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Nonpareil","Sfax",2008,"2/28/2008",59,"Nonpareil-Sfax",1,"Calibration","scarce"
"Almond","Tuono","Meknes",1975,"2/25/1975",56,"Tuono-Meknes",1,"Calibration","scarce"
"Almond","Tuono","Meknes",2012,"2/27/2012",58,"Tuono-Meknes",1,"Calibration","scarce"
"Almond","Tuono","Meknes",1989,"3/3/1989",62,"Tuono-Meknes",1,"Calibration","scarce"
